"Country or Area";"Year";"Value";"Value Footnotes"
"TÃ¼rkiye";"2016";"13.5";"239"
"TÃ¼rkiye";"2015";"14.3";"239"
"TÃ¼rkiye";"2014";"14.7";"239"
"TÃ¼rkiye";"2013";"15";"239"
"TÃ¼rkiye";"2012";"15";"239"
"TÃ¼rkiye";"2011";"16.3";"239"
"TÃ¼rkiye";"2010";"16.1";"239"
"TÃ¼rkiye";"2009";"16.9";"239"
"TÃ¼rkiye";"2008";"17.1";"239"
"TÃ¼rkiye";"2007";"16.7";"239"
"TÃ¼rkiye";"2006";"16.3";"239"
"TÃ¼rkiye";"2005";"18.5";"239"
"TÃ¼rkiye";"2001";"25";"6"
"Tajikistan";"2024";"19.8";"240"
"Tajikistan";"2023";"20.4";"240"
"Tajikistan";"2022";"21.7";"240"
"Tajikistan";"2021";"25.6";"240"
"Tajikistan";"2019";"26.3";"240"
"Tajikistan";"2018";"27.4";"240"
"Tajikistan";"2017";"29.5";"240"
"Tajikistan";"2016";"30.3";"240"
"Tajikistan";"2015";"31.3";"240"
"Tajikistan";"2014";"32";"240"
"Tajikistan";"2013";"34.3";"240"
"Tajikistan";"2009";"47.2";"241"
"Tajikistan";"2007";"53.1";"241"
"Tajikistan";"2003";"72.4";"242"
"Tajikistan";"1999";"96";"243"
"Tanzania";"2018";"26.4";"244"
"Tanzania";"2017";"26.4";"245"
"Tanzania";"2011";"28.2";"244"
"Tanzania";"2007";"34.4";"244"
"Tanzania";"2000";"35.6";"244"
"Tanzania";"1991";"38.6";"246"
"Thailand";"2022";"5.4";"247"
"Thailand";"2021";"6.3";"247"
"Thailand";"2020";"6.8";"247"
"Thailand";"2019";"6.2";"247"
"Thailand";"2018";"9.9";"247"
"Thailand";"2017";"7.9";"247"
"Thailand";"2016";"8.6";"247"
"Thailand";"2015";"7.2";"247"
"Thailand";"2014";"10.5";"247"
"Thailand";"2013";"10.9";"247"
"Thailand";"2012";"12.6";"247"
"Thailand";"2011";"13.2";"247"
"Thailand";"2010";"16.4";"247"
"Thailand";"2009";"17.9";"247"
"Thailand";"2008";"20.4";"247"
"Thailand";"2007";"20";"247"
"Thailand";"2006";"21.9";"247"
"Thailand";"2004";"26.8";"247"
"Thailand";"2002";"32.4";"247"
"Thailand";"2000";"42.3";"247"
"Thailand";"1998";"38.6";"248"
"Thailand";"1996";"35.4";"248"
"Thailand";"1994";"42.5";"248"
"Thailand";"1992";"50";"248"
"Thailand";"1990";"58";"248"
"Thailand";"1988";"65.2";"248"
"Timor-Leste";"2014";"41.8";""
"Timor-Leste";"2007";"50.4";""
"Timor-Leste";"2001";"36.3";""
"Togo";"2021";"43.8";"50"
"Togo";"2018";"45.5";"50"
"Togo";"2015";"55.1";"50"
"Togo";"2011";"58.7";"50"
"Togo";"2006";"61.7";"50"
"Tonga";"2021";"20.6";"249"
"Tonga";"2009";"22.5";"250"
"Tonga";"2000";"16.2";"250"
"Tunisia";"2021";"16.6";"251"
"Tunisia";"2015";"15.2";""
"Tunisia";"2010";"20.5";""
"Tunisia";"2005";"23.1";""
"Tunisia";"2000";"25.4";""
"Tuvalu";"2010";"26.3";""
"Uganda";"2019";"20.3";"252"
"Uganda";"2016";"21.4";"252"
"Uganda";"2012";"19.7";"252"
"Uganda";"2009";"24.5";"252"
"Uganda";"2005";"31.1";"252"
"Uganda";"2002";"38.8";"252"
"Uganda";"1999";"33.8";"253"
"Uganda";"1996";"44.4";"253"
"Uganda";"1992";"56.4";"253"
"Ukraine";"2020";"23.2";"254"
"Ukraine";"2019";"23.1";"255"
"Ukraine";"2018";"27.6";"255"
"Ukraine";"2017";"34.9";"255"
"Ukraine";"2016";"51.1";"255"
"Ukraine";"2015";"51.9";"255"
"United Kingdom";"2017";"18.6";"6"
"United Kingdom";"2016";"17";"6"
"Uruguay";"2024";"17.3";"256"
"Uruguay";"2023";"19.7";"256"
"Uruguay";"2022";"9.9";"256"
"Uruguay";"2020";"11.6";"256"
"Uzbekistan";"2024";"8.9";""
"Uzbekistan";"2023";"11";""
"Uzbekistan";"2022";"14.1";""
"Uzbekistan";"2021";"17";""
"Uzbekistan";"2013";"14.1";"257"
"Uzbekistan";"2012";"15";"257"
"Uzbekistan";"2011";"16";"258"
"Uzbekistan";"2010";"17.7";"258"
"Uzbekistan";"2005";"25.8";"259"
"Uzbekistan";"2004";"26.1";"259"
"Uzbekistan";"2003";"27.2";"259"
"Uzbekistan";"2002";"26.5";"259"
"Uzbekistan";"2001";"27.5";"259"
"Vanuatu";"2020";"15.9";""
"Vanuatu";"2019";"15.9";""
"Venezuela, RepÃºblica Bolivariana de";"2015";"33.1";""
"Venezuela, RepÃºblica Bolivariana de";"2014";"29.5";""
"Venezuela, RepÃºblica Bolivariana de";"2013";"29.4";""
"Venezuela, RepÃºblica Bolivariana de";"2012";"27.2";""
"Venezuela, RepÃºblica Bolivariana de";"2011";"27.4";""
"Venezuela, RepÃºblica Bolivariana de";"2010";"26.8";""
"Venezuela, RepÃºblica Bolivariana de";"2009";"26.4";""
"Venezuela, RepÃºblica Bolivariana de";"2008";"27.7";""
"Venezuela, RepÃºblica Bolivariana de";"2007";"27.5";""
"Venezuela, RepÃºblica Bolivariana de";"2006";"33.1";""
"Venezuela, RepÃºblica Bolivariana de";"2005";"42.4";""
"Venezuela, RepÃºblica Bolivariana de";"2004";"53.1";""
"Venezuela, RepÃºblica Bolivariana de";"2003";"54";""
"Venezuela, RepÃºblica Bolivariana de";"2002";"41.1";""
"Venezuela, RepÃºblica Bolivariana de";"2001";"31.1";""
"Venezuela, RepÃºblica Bolivariana de";"2000";"41.6";""
"Venezuela, RepÃºblica Bolivariana de";"1999";"42.8";"260"
"Venezuela, RepÃºblica Bolivariana de";"1998";"49";"260"
"Venezuela, RepÃºblica Bolivariana de";"1997";"55.6";"260"
"Viet Nam";"2022";"4.2";"261"
"Viet Nam";"2021";"4.4";"262"
"Viet Nam";"2020";"4.8";"261"
"Viet Nam";"2019";"5.7";"261"
"Viet Nam";"2018";"6.8";"261"
"Viet Nam";"2017";"7.9";"261"
"Viet Nam";"2016";"9.2";"261"
"Viet Nam";"2014";"13.5";"263"
"Viet Nam";"2012";"17.2";"264"
"Viet Nam";"2010";"20.7";"265"
"Viet Nam";"2008";"14.5";"266"
"Viet Nam";"2006";"16";"267"
"Viet Nam";"2004";"19.5";"268"
"Viet Nam";"2002";"28.9";"269"
"Viet Nam";"1997";"37.4";"270"
"Viet Nam";"1992";"58.1";"271"
"West Bank and Gaza";"2016";"29.2";"272"
"West Bank and Gaza";"2011";"25.8";"272"
"West Bank and Gaza";"2010";"25.7";"272"
"Yemen, Republic of";"2014";"48.6";""
"Yemen, Republic of";"2005";"34.8";"273"
"Yemen, Republic of";"1998";"40.1";"274"
"Zambia";"2022";"60";""
"Zambia";"2015";"54.4";""
"Zambia";"2010";"57";""
"Zambia";"2006";"59.3";"275"
"Zambia";"2004";"58.4";"275"
"Zambia";"2002";"66.5";"275"
"Zambia";"1998";"66.8";"276"
"Zambia";"1996";"68.1";"276"
"Zambia";"1993";"73.8";"276"
"Zambia";"1991";"69.7";"276"
"Zimbabwe";"2019";"38.3";"277"
"Zimbabwe";"2017";"30.4";"278"
"Zimbabwe";"2011";"22.5";"279"
"Zimbabwe";"2001";"32.2";"280"
"Zimbabwe";"1995";"75.6";"281"

"footnoteSeqID";"Footnote"
"1";"Source: Income, Expenditure, and Labor Force Survey (IELFS) 2019-20"
"2";"Source: Afghanistan Living Conditions Surveys (ALCS) 2016-17"
"3";"Source: National Risk and Vulnerability Assessment (NRVA) 2011-12"
"4";"Source: National Risk and Vulnerability Assessment (NRVA) 2007-08"
"5";"Source: INSTAT"
"6";"Source: EUROSTAT, At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers), reported year is income reference year. Poverty line is relative. Government estimate."
"7";"Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate."
"8";"Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate."
"10";"Source:  Democratic and Popular Republic of Algeria: Growth, Employment and Poverty Reduction (Report No. 18564-AL). Poverty line is absolute. Government estimate."
"11";"Source: World Bank Poverty Assessment (2020)"
"12";"Source: EPH (second semester), INDEC"
"13";"Source: WDI, and INDEC (EPH, second semester for poverty)"
"14";"Source: National Statistical Service of the Republic of Armenia"
"15";"Source: Bangladesh Bureau of Statistics based on Household Income and Expenditure Survey. Poverty line is absolute. Poverty line is absolute."
"16";"Source: Bangladesh Bureau of Statistics Source; HIES 2010; based on the BBS method anchored to HIES (2005) upper poverty lines; inflation adjustment based on HIES data, not CPI. Poverty line is absolute. Government estimate."
"17";"Source: HIES 1991/92, 1995/96, 2000, and 2005; based on the BBS method anchored to HIES (2005) upper poverty lines deflated to adjust for inflation to generate comparable poverty lines for earlier years. Poverty line is absolute. Government estimate."
"18";"Source:  HIES 1991/92, 1995/96, 2000, and 2005; based on the BBS method anchored to HIES (2005) upper poverty lines deflated to adjust for inflation to generate comparable poverty lines for earlier years. Poverty line is absolute. Government estimate."
"19";"Source: BSLC Methodological Note"
"20";"Source: Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate."
"21";"Source:  Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate."
"22";"Source: Statistical Institute of Belize"
"23";"Source: INSAE"
"24";"Source: INSAE. Poverty line is absolute. Government estimate."
"25";"Source: Institut National de la Statistique et de lâ€™Analyse Economique. Poverty line is absolute. Government estimate."
"26";"Source:  Progress Report on the Implementation of the PRSP 2003. Poverty line is absolute. Government estimate."
"27";"Source: Bhutan Living Standard Surveys (BLSS). National Statistics Bureau Royal Government of Bhutan and the World Bank. Poverty line is absolute. Government estimate."
"28";"Source: Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate."
"29";"Source: Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate. In 2019, Bolivia updated its poverty line."
"30";"Source: Bosnia and Herzegovina Poverty Update: PROTECTING THE POOR DURING THE GLOBAL CRISIS, Report No: 51847-BA, Dec 2009. Poverty line is absolute. World Bank estimate."
"31";"Source: Statistics Botswana"
"32";"Source:  Central Statistics office. Poverty line is absolute. Government estimate."
"33";"Source: INSD"
"34";"Source: EICVMB 2020/21"
"35";"Source: ECVMB 2013"
"36";"Source: QUIBB 2006"
"37";"Source:  Republic of Burundi: Poverty Reduction Strategy Paper (PRSP). Poverty line is absolute. Government estimate."
"38";"Source: Poverty update."
"39";"Source: Ongoing poverty assessment"
"40";"Source: Instituto Nacional de Estatistica"
"41";"Source: Instituto Nacional de Estatistica (INE)."
"42";"Source:  O Que Temos Como Consumimosa PresentaÃ§Ã£o dos Resultados Definitivos and Report No. 13126-CV Poverty in Cape Verde: A Summary Assessment and Strategy for its Alleviation. Poverty line is absolute. Government estimate."
"43";"Source:  staff estimates. Poverty line is absolute. Government estimate."
"44";"Source: Institut National de la Statistique: PRESENTATION DES PREMIERS RESULTATS DE LA QUATRIEME ENQUÃŠTE CAMEROUNAISE AUPRES DES MENAGES (ECAM 4) DE 2014. Poverty line is absolute. Government estimate."
"45";"Source: Institut National de la Statistique: Tendances, profil et dÃ©terminants de la pauvretÃ© au Cameroun entre 2001-2007. Poverty line is absolute. Government estimate."
"46";"Source:  Institut National de la Statistique: Tendances, profil et dÃ©terminants de la pauvretÃ© au Cameroun entre 2001-2007. Poverty line is absolute. Government estimate."
"47";"Source: 2021 EHCVM"
"48";"Source: CAR2008 Rapport ECASEB et Profil 2008 pagine tabulÃ© finalysÃ©. Poverty line is absolute. Government estimate."
"49";"Source:  Un Profile de Pauvrete en Republique Centrafricaine - en 1992. Poverty line is absolute. Government estimate."
"50";"Source: INSEED"
"51";"Source: MDSF"
"52";"Source: WDI"
"53";"Source:  Encuesta de CaracterizaciÃ³n SocioeconÃ³mica Nacional; Moderate Poverty Line (individuals). Poverty line is absolute. Government estimate."
"54";"Source: Poverty: 2021 China Yearbook; Gini: NBS webse"
"55";"Source: Poverty: 2020 China Yearbook; Gini: 2019 Yearbook of Household Survey"
"56";"Source: Poverty: 2019 China Yearbook; Gini: 2018 Yearbook of Household Survey"
"57";"Source: Poverty: 2019 China Yearbook"
"58";"Source: DANE. Gran Encuesta Continua"
"59";"Source: DANE. Gran Encuesta Continua de Hogares; Moderate Poverty Line (individuals). (www.dane.gov.co) . Poverty line is absolute. Government"
"60";"Source: DANE. Gran Encuesta Continua de Hogares; Moderate Poverty Line (individuals). (www.dane.gov.co) . Poverty line is absolute. Government estimate."
"61";"Source: EHCVM 2020"
"62";"Source: EESIC 2014 survey"
"63";"Source: National Report"
"64";"Source: World Bank, 2016 DRC-Poverty Assessment using the 1-2-3 Household Surveys, 2005 and 2012. Poverty line is absolute."
"65";"Source: Poverty Assessment, 2017"
"66";"Source: INEC/Encuesta Nacional de"
"67";"Source: INEC/Encuesta Nacional de Hogares (Enaho) 2022"
"68";"Source: INEC/Encuesta Nacional de Hogares (Enaho) 2021"
"69";"Source: INEC/Encuesta Nacional de Hogares (Enaho) 2020"
"70";"Source: INEC/Encuesta Nacional de Hogares (Enaho) 2010 - 2018."
"71";"Source: INEC/Encuesta Nacional de Hogares (Enaho) 2010 - 2017."
"72";"Source: INEC.Encuesta de Hogares de PropÃ³sitos MÃºltiples; Moderate Poverty Line (Households). Poverty line is absolute. Government estimate. Poverty line is absolute. Government estimate."
"73";"Source:  INEC.Encuesta de Hogares de PropÃ³sitos MÃºltiples; Moderate Poverty Line (Households). Poverty line is absolute. Government estimate. Poverty line is absolute. Government estimate."
"74";"Source: Encuesta Nacional Continua de Fuerza de Trabajo (ENCFT)"
"75";"Source: Encuesta Nacional de Fuerza de Trabajo (ENFT)"
"76";"Source: INEC. ENEMDU, Income Poverty; Dec data; Moderate Poverty Line (individuals). Poverty line is absolute. Government estimate."
"77";"Source: Sistema de Indicadores sociales del Ecuador - Ministerio Coordinador de Desarrollo Social. Poverty line is absolute. Government estimate."
"78";"Source: Sistema de Indicadores sociales del Ecuador - Ministerio Coordinador de Desarrollo Social (http://www.siise.gob.ec/siiseweb/siiseweb.html?sistema=1#). Poverty line is absolute. Government estimate."
"79";"Source: Central Administration for Public Mobilization and Statistics. Poverty line is absolute. Government estimate."
"80";"Source: ONEC - Encuesta de Hogares de PropÃ³sitos MÃºltiples 2023"
"81";"Source: ONEC - Encuesta de Hogares de Propositos Multiples 2022"
"82";"Source: ONEC - Encuesta de Hogares de Propositos Multiples 2021"
"83";"Source: DIGESTYC - Encuesta de Hogares de Propositos Multiples 2020"
"84";"Source: Instituto Nacional de Estadistica INEGE, Guinea Ecuatorial"
"85";"Source: PROFIL DE LA PAUVRETE EN GUINEE EQUATORIALE EN 2006. Poverty line is absolute. Government estimate."
"86";"Source:  Eritrea Poverty Assessment. Poverty line is absolute. Government estimate."
"87";"Source: Swaziland Centrral Statistics Office"
"88";"Source:  Eswatini Household Income and Expenditure Survey 2000-01. Poverty line is absolute. Government estimate."
"89";"Source: WB calculation based on HoWStat 2021"
"90";"Source: FDRE, 2017"
"91";"Source:  Ministry of Finance and Economic Development (MoFED): Ethiopia: Building on Progress, A Plan for Accelerated and Sustained Development to End Poverty (PASDEP), Volume I: Main Text. Poverty line is absolute. Government estimate."
"92";"Source: Fiji Bureau of Statistics official release"
"93";"Source: EGEP 2017"
"94";"Source: EGEP 2005"
"95";"Source: IHS 2020"
"96";"Source: IHS 2015"
"97";"Source: IHS 2010"
"98";"Source: https://www.geostat.ge/en/modules/categories/192/living-conditions"
"99";"Source: Geostat. https://www.geostat.ge/en/modules/categories/192/living-conditions"
"100";"Source: Geostat. National Statistics Office of Georgia. Poverty line is absolute. Government estimate."
"101";"Source: Ghana Statistical Service. Poverty trends in Ghana 2005-2017"
"102";"Source: Poverty Profile in Ghana (2005 - 2013). Poverty line is absolute. Government estimate."
"103";"Source: Poverty Profile in Ghana (2005-2013). Poverty line is absolute. Government estimate."
"104";"Source:  Ghana Statistical Service: Poverty Trends in Ghana in the 1990s. Poverty line is absolute. Government estimate."
"105";"Source: World Bank and Grenada's Central Statistics Office"
"106";"Source: National Statistical Institute, Encuesta nacional de condiciones de vida"
"107";"Source: NSO"
"108";"Source: EHCVM 2021/22"
"109";"Source: EHCVM 2018/19"
"110";"Source: ILAP 2010"
"111";"Source:  Government: Tables generated. Poverty line is absolute. Government estimate."
"112";"Source:  National Poverty Reduction Strategy Paper (NPRSP). Poverty line is absolute. Government estimate."
"113";"Source: EnquÃªte sur les conditions de vie des mÃ©nages aprÃ¨s le sÃ©isme 2012"
"114";"Source: moderate poverty 2USD (the official document refers to 1993 ppp dollars. World Bank did an update that can be found in the World Bank documents browser under de name "Country Brief: New PPP Poverty Estimates for Haiti"). Numbers refer the official document laborated by FAFO in 2004 and using 1993 PPP dollars. Poverty line is absolute. Government estimate."
"115";"Source: Pedersen and Lockwood (2001), using EBCM III. Poverty line is absolute. Government estimate."
"116";"Source:  Pedersen and Lockwood (2001), using EBCM II. Poverty line is absolute. Government estimate."
"117";"Source: INE. Encuesta Permanente de Hogares de PropÃ³sitos Multiples (EPHPM). Poverty line is absolute. Government estimate. Population estimate is projection from official 2013 Census."
"118";"Source: INE. Encuesta Permanente de Hogares de PropÃ³sitos Multiples (EPHPM). Individual Poverty. Poverty line is absolute. Government estimate. Population estimate is projection from official 2013 Census."
"119";"Source: INE. Encuesta Permanente de Hogares de PropÃ³sitos Multiples (EPHPM). Individual Poverty. Poverty line is absolute. Government estimate. Population estimate is projection from official 2013 Census. Gini is from SEDLAC."
"120";"Source: Population figures are from Povcalnet and poverty figures are the official national estimates"
"121";"Source:  Press Note on Poverty Estimates, 2011-12. Government of India, Planning Commision. July 2013. Estimates based on Tendulkar Methodology, using Mixed Reference Period. Poverty line is absolute. Government estimate."
"122";"Source: Statistics Indonesia (Badan Pusat Statistik)"
"123";"Source: Statistics Indonesia (Badan Pusat Statistik). Poverty line is absolute. Government estimate."
"124";"Source:  Based on SUSENAS using GSO expenditure poverty line. The welfare measure used is consumption per capita. (http://dds.bps.go.id/eng/);. Poverty line is absolute. Government estimate."
"125";"Source: IHSES 2023"
"126";"Source: IHSES 2012"
"127";"Source: IHSES 2006"
"128";"Source: PIOJ press release"
"129";"Source: WDI (population); PIOJ (national poverty)"
"130";"Source:  Jamaica Survey of Living Conditions; Moderate Poverty Line (individuals) (www.pioj.gov.jm). Poverty line is absolute. Government estimate."
"131";"Source: Jordan Department of Statistics"
"132";"Source: Statistics of Kazakhstan for poverty and population numbers. WDI for Gini Index."
"133";"Source: The Kenya Poverty Report (2022)"
"134";"Source: Basic Report on well-being in Kenya, https://www.knbs.or.ke/publications/"
"135";"Source:  Second report on Poverty in Kenya Vol. 1. Poverty line is absolute. Government estimate."
"136";"Source: 2023/24 HIES"
"137";"Source: 2019/20 HIES"
"138";"Source: Official Reports from KAS and WB (2012-2015, 2009-2011) and WB Kosovo Poverty Assessment 2007"
"139";"Source: National Statistical Committee"
"140";"Source: National Statistical Committee of the Kyrgyz Republic. Poverty line is absolute. Government estimate."
"141";"Source: National Statistica Committee of the Kyrgyz Republic"
"142";"Source: Government of Lao PDR"
"143";"Source: Central Administration for Statistics"
"144";"Source: UNDP (2008). Poverty, Growth and Income Distribution in Lebanon. (http://www.socialaffairs.gov.lb/docs/pubs/PCID.pdf). Poverty line is absolute. Government estimate."
"145";"Source: CMSHBS 2017/18"
"146";"Source:  World Bank: Sharing Growth by Reducing Inequality and Vulnerability: Choices for Change, A Poverty, Gender, and Social Assessment. Poverty line is absolute. World Bank estimate."
"147";"Source:  Lesotho Poverty Assessment Report No. 13171-LSO. +Urban head count (Maseru 28.14% and Other urban 26.84%). Urban poverty gap (Maseru 12.8% and Other urban 12.06%). Poverty line is absolute. World Bank estimate."
"148";"Source:  Lesotho Poverty Assessment. Poverty line is absolute. Government estimate."
"149";"Source: HIES 2016"
"150";"Source: HIES 2014"
"151";"Source: CWIQ 2007"
"152";"Source: https://instat.mg/documents/upload/main/INSTAT_Epm21-22_06-2024.pdf"
"153";"Source: EPM 2010, ENSOMD 2012 and World Bank Poverty Assessment 2016. Poverty line is absolute."
"154";"Source: Minsitere de l'economie, des Finances et du Budget, USAID and Institut National de la Statistique: Enquete Periodique Aupres des Menage 2005: Rapport Prinicpal. Poverty line is absolute. Government estimate."
"155";"Source: Madagascar Poverty, Gender and Inequality Assessment. Poverty line is absolute. Government estimate."
"156";"Source:  Changes in Poverty in Madagascar: 1993-1999, Africa Region Working Paper Series No. 19. Poverty line is absolute. Government estimate."
"157";"Source: Poverty Assessment"
"158";"Source: New household survey (IHS4), Malawi NSO."
"159";"Source:  PMS policy brief No. 2 (revised) The state of Malawiâ€™s poor: The incidence, depth, and severity of poverty. Poverty line is absolute. Government estimate."
"160";"Source: The 13th Malaysia Plan"
"161";"Source: Department of Statistics Malaysia"
"162";"Source: HIES 2019"
"163";"Source: EMOP"
"164";"Source: EMOP (comparable to EMOP)"
"165";"Source: EHCVM (comparable with the previous EHCVM)"
"166";"Source: EHCVM"
"167";"Source: Geography of Poverty in Mali, World Bank 2015.  http://documents.worldbank.org/curated/en/877031468299934506/Mali-Geography-of-poverty-in-Mali"
"168";"Source: ANSADE/WB"
"169";"Source: ONS"
"170";"Source:  Profil de la Pauvrete en Mauritanie 1996. Poverty line is absolute. Government estimate."
"171";"Source: https://statsmauritius.govmu.org/Documents/Statistics/By_Subject/Poverty/Poverty_Analysis_Report%20_Yr23_100225.pdf"
"172";"Source: HBS, income based relative (50% of median income) poverty line in per adult equivalent terms"
"173";"Source: HBS"
"174";"Source: INEGI using ENIGH"
"175";"Source: Coneval using  ENIGH"
"176";"Source: National Bureau of Statistics of Moldova"
"177";"Source: National Statistical Office of Mongolia and World Bank. Poverty line is absolute. World Bank and Government estimate."
"178";"Source: National Statistical Office of Mongolia. Poverty line is absolute. Government estimate."
"179";"Source: Evolution du niveau de vie de la population Ã  la lumiÃ¨re des rÃ©sultats de lâ€™EnquÃªte Nationale sur le Niveau de Vie des MÃ©nages de 2022, Juin 2024, HCP"
"180";"Source: Royaume du Maroc Haut-Commissariat au Plan. Dynamiques de la pauvretÃ© au Maroc.(http://www.hcp.ma/file/111923/) and http://www.hcp.ma/Indices-de-la-pauvrete-vulnerabilite-et-inegalite-selon-le-milieu-de-residence-1985-2007_a658.html. Poverty line is absolute. Government estimate."
"181";"Source:  Royaume du Maroc Haut-Commissariat au Plan. Dynamiques de la pauvretÃ© au Maroc. (http://www.hcp.ma/file/111923/). Poverty line is absolute. Government estimate."
"182";"Source: https://www.mef.gov.mz/index.php/publicacoes/estrategias/2184-estrategia-nacional-de-desenvolvimento-2025-2024/file"
"183";"Source: calculation based on household survey by poverty team of MOZ"
"184";"Source:  POBREZA E BEM-ESTAR EM MOÃ‡AMBIQUE: TERCEIRA AVALIAÃ‡ÃƒO NACIONAL. Poverty line is absolute. Government estimate."
"185";"Source: World Bank using MLCS/EAPPOV/GMD"
"186";"Source: World Bank using MPLCS/EAPPOV/GMD."
"187";"Source: World Bank using IHLCA/EAPPOV/GMD"
"188";"Source: NHIES 2015/2016 survey report, Namibia Statistics Agency"
"189";"Source: Namibia Statistics Agency"
"190";"Source:  Poverty dynamics in Namibia: A comparative study using the 1993/94, 2003/04 and the 2009/10 NHIES surveys. Poverty line is absolute. Government estimate."
"191";"Source: Source: Poverty in Nepal, Nepal Living Standards Survey (NLSS-III, 2010-11), Central Bureau of Statistics (CBS). Poverty line is absolute. Government estimate."
"192";"Source: Source: Central Bureau of Statistics: Poverty Trends in Nepal (http://www.cbs.gov.np/Others/Poverty%20Assessment.pdf), Sept 2005; and Resilience Amidst Conflict: An Assessment of Poverty in Nepal, World Bank, June 2006. Poverty line is absolute. Government estimate."
"193";"Source:  Central Bureau of Statistics: Poverty Trends in Nepal (http://www.cbs.gov.np/Others/Poverty%20Assessment.pdf), Sept 2005; and Resilience Amidst Conflict: An Assessment of Poverty in Nepal, World Bank, June 2006. Poverty line is absolute. Government estimate."
"194";"Source: INIDE / EMNV 2001, 2005, 2009, 2014, and 2016"
"195";"Source:  (INIDE) Encuesta Nacional de Hogares sobre MediciÃ³n de Nivel de Vida; Moderate Poverty Line (individuals). Poverty line is absolute. Government estimate."
"196";"Source: NBS"
"197";"Source: Ministerio de EconomÃ­a y Finanzas. Poverty line is absolute. Government estimate."
"198";"Source: Ministerio de EconomÃ­a y Finanzas. Poverty line is absolute. Government estimate. Â Ministerio de EconomÃ­a y Finanzas. Poverty line is absolute. Government estimate."
"199";"Source: Minstry of Economics and Finance"
"200";"Source:  staff estimates The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate."
"201";"Source: INE. Encuesta Permanente de"
"202";"Source: INE. Encuesta Permanente de Hogares Continua; Moderate Poverty Line (individuals). Poverty line is absolute. Government estimate."
"203";"Source: https://www.ine.gov.py/publication-single.php?codec=MTEx"
"204";"Source: DirecciÃ³n General de EstadÃ­stica, Encuestas y Censos. Poverty line is absolute. Government estimate."
"205";"Source:  DirecciÃ³n General de EstadÃ­stica, Encuestas y Censos. Poverty line is absolute. Government estimate."
"206";"Source: INEI. Encuesta Nacional de Hogares; Moderate Poverty Line (individuals); Estimates based on new methodology since 2004; Not comparable with prior series (www.inei.gob.pe). Poverty line is absolute. Government estimate."
"207";"Source: INEI. Encuesta Nacional de Hogares 3; Moderate Poverty Line (individuals); Not comparable with the estimates of 2004 and onwards (www.inei.gob.pe) . Poverty line is absolute. Government estimate."
"208";"Source: INEI. Encuesta Nacional de Hogares 2; Moderate Poverty Line (individuals); Not comparable with the estimates of 2004 and onwards (www.inei.gob.pe) . Poverty line is absolute. Government estimate."
"209";"Source: INEI. Encuesta Nacional de Hogares 1; Moderate Poverty Line (individuals); Not comparable with the estimates of 2004 and onwards (www.inei.gob.pe) . Poverty line is absolute. Government estimate."
"210";"Source:  INEI. Encuesta Nacional de Hogares 1; Moderate Poverty Line (individuals); Not comparable with the estimates of 2004 and onwards (www.inei.gob.pe) . Poverty line is absolute. Government estimate."
"211";"Source: Philippine Statistics Authority"
"212";"Source: The Philippines Statistics Authority (PSA). Poverty line is absolute. Government estimate."
"213";"Source:  The Philippines Statistics Authority (PSA). Poverty line is absolute. Government estimate."
"214";"Source: Poland: Growth, Employment and Living Standards in Pre-Accession Poland, Report No. 28233-POL, Mar 2004. Poverty line is absolute. World Bank estimate."
"215";"Eurostat"
"216";"Source:  EUROSTAT"
"217";"Source: Rosstat/WDI"
"218";"Source: EICV 7 Survey (National Institute of Statistics of Rwanda"
"219";"Source: EICV 5 surveyÂ  (National institute of Statistics Rwanda)"
"220";"Source: EICV 4 survey (National Institute of Statistics Rwanda)"
"221";"Source: IOF2017"
"222";"Source: Official national figure"
"223";"Source: Poverty line is absolute."
"224";"Source: Poverty line is absolute. Government estimate."
"225";"Source: DRSP Document de StratÃ©gie pour la croissance et la RÃ©duction de la PauvretÃ© 2006-2010. Poverty line is absolute."
"226";"Source: Statistical Office of the Republic of Serbia (2011) Poverty in the Republic of Serbia, 2008-2010. Poverty line is absolute. Government estimate."
"227";"Source: Living standard Measurement Survey - Serbia 2002 - 2007. Poverty line is absolute. World Bank estimate."
"228";"Source: Background Paper on Trends and Profile of Poverty in Serbia: 2004-2006 - Serbia Poverty Assessment, June 2007. Poverty line is absolute. World Bank estimate."
