Series Name,"Series Code","Country Name","Country Code","Time","Time Code","Value"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Netherlands","NLD","2017","YR2017","91.2555195402836"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Netherlands","NLD","2018","YR2018","90.3683166503906"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Netherlands","NLD","2019","YR2019","91.9366758031883"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Netherlands","NLD","2020","YR2020","91.2177810668945"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Netherlands","NLD","2021","YR2021","90.9582104013994"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Netherlands","NLD","2022","YR2022","91.1451951874545"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Netherlands","NLD","2023","YR2023","90.2764267356421"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Netherlands","NLD","2024","YR2024","NA"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Germany","DEU","2013","YR2013","96.6717910766602"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Germany","DEU","2014","YR2014","96.7991485595703"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Germany","DEU","2015","YR2015","96.7161178588867"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Germany","DEU","2016","YR2016","96.5136413574219"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Germany","DEU","2017","YR2017","96.351735105875"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Germany","DEU","2018","YR2018","96.3322525024414"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Germany","DEU","2019","YR2019","96.3561625677397"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Germany","DEU","2020","YR2020","95.6803817749023"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Germany","DEU","2021","YR2021","NA"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Germany","DEU","2022","YR2022","94.7800091310913"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Germany","DEU","2023","YR2023","94.7810223403315"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Germany","DEU","2024","YR2024","NA"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","France","FRA","2013","YR2013","81.5009994506836"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","France","FRA","2014","YR2014","82.6331634521484"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","France","FRA","2015","YR2015","83.2034301757812"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","France","FRA","2016","YR2016","83.6858291625977"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","France","FRA","2017","YR2017","84.2147979736328"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","France","FRA","2018","YR2018","84.9328999371132"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","France","FRA","2019","YR2019","85.5956573486328"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","France","FRA","2020","YR2020","86.4647576771151"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","France","FRA","2021","YR2021","90.7347194200938"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","France","FRA","2022","YR2022","91.042855672505"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","France","FRA","2023","YR2023","91.6159036525416"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","France","FRA","2024","YR2024","NA"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Australia","AUS","2013","YR2013","91.081413269043"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Australia","AUS","2014","YR2014","91.8276672363281"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Australia","AUS","2015","YR2015","92.6488571166992"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Australia","AUS","2016","YR2016","92.7639923095703"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Australia","AUS","2017","YR2017","93.0057067871094"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Australia","AUS","2018","YR2018","93.4390716552734"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Australia","AUS","2019","YR2019","93.9455032348633"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Australia","AUS","2020","YR2020","94.5065307617188"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Australia","AUS","2021","YR2021","94.5512771606445"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Australia","AUS","2022","YR2022","95.0222778320312"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Australia","AUS","2023","YR2023","92.8643691983533"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Australia","AUS","2024","YR2024","93.1921740157615"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Austria","AUT","2013","YR2013","NA"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Austria","AUT","2014","YR2014","99.5548477172852"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Austria","AUT","2015","YR2015","98.9923808970287"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Austria","AUT","2016","YR2016","98.9686390822096"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Austria","AUT","2017","YR2017","99.0295070633791"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Austria","AUT","2018","YR2018","98.931992061047"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Austria","AUT","2019","YR2019","98.8267504410167"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Austria","AUT","2020","YR2020","98.9565351673245"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Austria","AUT","2021","YR2021","94.7140197753906"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Austria","AUT","2022","YR2022","NA"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Austria","AUT","2023","YR2023","NA"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Austria","AUT","2024","YR2024","NA"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Brazil","BRA","2013","YR2013","55.8442993164062"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Brazil","BRA","2014","YR2014","56.3307189941406"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Brazil","BRA","2015","YR2015","57.5709915161133"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Brazil","BRA","2016","YR2016","58.2031097412109"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Brazil","BRA","2017","YR2017","59.1219291687012"
