Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United States,USA,Gini index,SI.POV.GINI,40.9,41.7,41.5,41.3,41.4,41.8,41.9,40,39.7,41.7,41.8,41.8
United States,USA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,1.70188036200072,1.74161805327677,0.928042793340694,0.950322477762683,1.79080328635395,2.29089027694309,1.65046566913468,1.32883273821456,4.56598550261991,7.1294808542103,3.59839135378085,2.41809815948876
United States,USA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638,4.022
United States,USA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,92.9575651271557,93.1065446024243,93.1078948809573,93.1656113439205,93.2999955828473,93.2712780203987,93.4584275732255,93.6933515212802,93.4165879610081,93.7164154427621,93.9177931274305,93.8132403280586
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.11783009790057,2.52381981363968,2.94555045484053,1.81945147788167,2.45762229852507,2.96650506901305,2.58382533412825,-2.16302914036166,6.05505293244555,2.51237531986017,2.88755600749487,2.79300127716779
United States,USA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.34816252731798,1.71094543857326,2.12741138123612,1.02266589117943,1.75014094923958,2.36444249943987,2.05676590328193,-2.56180738534749,5.88834103890834,1.92386172918107,2.03559987540991,1.79419235153047
United Kingdom,GBR,Gini index,SI.POV.GINI,32.7,33.1,33.3,33.1,32.6,33.7,32.8,32.7,32.4,..,..,..
United Kingdom,GBR,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2.10944101947345,1.31890253241846,0.658400607028781,1.96415131491665,1.85511702317338,1.92064709316311,2.13295139419517,4.96982050842443,0.066556651367506,5.44390476600624,6.88853758661627,4.01174057473806
United Kingdom,GBR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.752,6.398,5.552,4.909,4.501,4.145,3.657,4.518,4.864,3.768,4.025,4.361
United Kingdom,GBR,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,85.5789049466577,84.7529055886931,85.0167841336914,84.7450712130517,84.6470555577831,84.9092630411679,84.9861076064304,85.4829332058235,86.4154876753677,86.6934804594799,86.5812685936669,86.7824939964226
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.71846961308464,3.16017351468152,2.14040560033371,2.20652020635357,3.02322219840339,1.55133095078786,1.25629899760824,-10.047896637362,8.5431118453255,5.14970388522993,0.271650048355255,1.1264226705118
United Kingdom,GBR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.03970154694078,2.39229911882015,1.40598896714546,1.39799087279013,2.46254947655839,1.05651160071312,0.736576132017404,-10.2001887936603,8.15420782581518,4.18537017111771,-1.02837368059031,0.0541839994899789
Spain,ESP,Gini index,SI.POV.GINI,36.2,36.1,36.2,35.8,34.7,34.7,34.3,34.9,33.9,33.6,33.4,..
Spain,ESP,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,0.438175032697188,-0.22068679671149,0.552441816045786,0.372182539615821,1.25794431812474,1.18735470237598,1.42867123652391,1.13391454164042,2.55611236501613,4.71187421007816,6.23528006974459,2.9829920792457
Spain,ESP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,26.094,24.441,22.057,19.635,17.224,15.255,14.104,15.532,14.914,13.033,12.179,11.344
Spain,ESP,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,82.5171948279908,82.0611122170042,82.59657826981,83.3246615635488,83.3068330156771,83.8994690753145,84.2558226330608,83.8651028953925,83.8661494076123,84.6258622682033,85.1578228191866,85.3014226341261
